,headline,reviewBody,Author Name,Published Year,Published Month,Published Day,Review,SA Negative,SA Positive,Review Case
11,I’ll never return to Vodafone,"I’ll never return to Vodafone. Upgraded 2020, was advised on the call that after 12 months I could upgrade for free if I returned the handset but I could wait 18 months, keep the handset and upgrade for free - Lies, and apparently they haven’t got the call recording! Either way I was willing to still upgrade and renew this month, however the prices are ridiculous and they’ve changed from 24 month contracts to 36 months. £85 per handset (I had 2 with them)?! No chance. EE gave me the same phone, more data and apple care for £104 a month for both handsets. Vodafone wrecked my credit file in the early days for no reason (no missed payments but reported them as missed and wouldn’t remove the marks), tried to rip me off this upgrade and conned me into upgrading back in 2020.",Gage,2022,1,14,1,0.116,0.104,Negative
12,Broadband companies are total failures!!!,"Just another lousy company, had to leave EE only to find their customer service is equally as bad as EE none existing at all. Broadband running, they forgot to let EE know to cut that line off and know I have broadband but not knowing what package I have what I pay or anything else. Have not given a working account to check or to get any knowledge of it. Using a Website to look into it and the only way for me to correspond to Voda but I been totally ignored.In England not where I live we have a worthwhile working broadband company, we never had. The all got the same attitude as No 10. Looks like another ombudsman job.Rotten customer service and it stinks. They take your money and run. Stay clear of Virgin media because they never turned up to do the job and had a subcontractor of theirs had to borrow my tools to dig a trench but the router and mobiles never came.",EARTHLING,2022,1,14,1,0.082,0.057,Negative
13,Criminally bad service,Just spent 4 hours in store trying to cancel contract for gigacube that won’t work.  Store manager tried too for hours and gave up.  People answer after 50 minutes but then hang up.   The manager was swearing at how bad his own company was!!!  I can see on here lots of people saying similar - I can’t believe the government haven’t intervened to stop this company.   It’s actually criminally bad as it’s taking peoples money and then just refusing to answer.   I am down 330 for gigacube and a contract of 40 a month for a service that doesn’t exist and can’t be stopped!,John Teall,2022,1,14,1,0.208,0,Negative
14,Vodafone is a bad network ever,"Hi guys Whatever you do, do not trust anything  from VodafoneAs soon as you sign a contract with them they will rip you off. i am just 3 months with them and i have lot of regrets. Their customer service is very poor, they charge you for calls you have not even dream about, each time you ask any question they do not reply instead send  a nosense  response with empty words.",Abel Bakina,2022,1,14,1,0.164,0,Negative
15,Very very poor mess peoples credit file…,Very very poor mess peoples credit file up and you cart get in touch with them on phone should be shut down rather company is a joke,cliff bailey,2022,1,14,1,0.2,0.143,Negative
16,Ordered an upgrade 4 days ago still…,"Ordered an upgrade 4 days ago still waiting!! On line chat is useless so phoned them this morning and made a complaint then the call was put on hold as told that checking with the warehouse team, then was told shortly after that it would be despatched today or tomorrow plus have email and text message. This makes me wonder if they just do this and not contacting the other department!!! Have been loyal customer for over 25 year's now have cancelled the order.Now looking at other mobile phone provider's like O2.",Avast,2022,1,14,1,0.083,0.057,Negative
17,Cannot use telephone extensions,"Recently moved to Vodafone broadband. I was not informed that I would lose my pstn line as part of the move except for the dial tone. This means I cannot use any of my telephone extensions.I raised that with them but they are not able to offer any solution. I asked to cancel the service as this is useless to me but was informed that I was out of my cancellation period. I wish I had stayed with plusnet, they offer fantastic service.",Gary Hawksworth,2022,1,14,1,0.09,0.127,Positive
18,Unable to cancel my service,Unable to cancel my service. They just don’t answer their phones. The cube stopped working. Now they are going to mark my credit score down.,Bob Farley,2022,1,14,1,0.137,0.091,Negative
19,Always takes forever to get any help,"Always takes forever to get any help! Online Chat says ""Loading please wait..."" for 2 days now! and I've been waiting on the phone for 44minutes...so far. (but at least my call is very important to them!)",Bare Foot,2022,1,14,1,0,0.195,Positive
20,Actually been on hold now for 49 minutes…,Actually been on hold now for 49 minutes to customer services!! Totally unacceptable. What on earth has happened. I've been a customer since the start of this company. Always been a very good customer service. Time to leave!!!,Denise McNALLY,2022,1,14,1,0.135,0.076,Negative
21,"new phone,charged one on off charge…","new phone,charged one on off charge 55.99 and they did not tell in advance, just for nothing. Only discovered in my first bill. Can't hear those guys at the phone, it breaks all the time. Get a proper phone or headphones support.",Cris,2022,1,14,1,0,0.063,Positive
22,Go to o2 trust me,By far thr worse hpone company I've ever got a contract from never again there customer service is shocking honestly don't waste your time with the inwould recommend o2,John Bradley,2022,1,14,1,0.158,0.214,Positive
23,Avoid Avoid,"Please please don’t renew your mobile contract with this company . They lied to us. Then said no it’s not that price once I signed,  that was for phone only not the service. Now trying to cancel it is a nightmare. Complaints go all coda phone all over the world and a lot of the people answering the phone don’t understand. You get passed from one department to the other and no one will help you. We have been customers of Vodaphone for over 20 years and enough is enough.They put the phone down and say you must of got cut off.",David Parker,2022,1,14,1,0.125,0.066,Negative
24,Customer for 20 years,"Customer for 20 years , problems with broadband getting switched off for no reason , a free my fi box for a goodwill gesture while they sort my broadband out and they still charging me over hundred pounds for it about 30 hours spent on phone to them in the last 2 months still not sorted out , ombudsman next step , spent thousands of pounds with them over the years. THINK VERY HARD BEFORE YOU PART MONEY WITH VODAFONE . They treat me lately like a bit of dog mess on the pavement .",Granty Grant,2022,1,14,1,0.109,0.088,Negative
25,Broadband - Don’t even think about it..,"If you want to get broadband then take anything else but don’t even think about Vodafone. I ordered mine on 30/12/21 and I booked everything online then I got message from Vodafone that I won’t have engineer visit as my line is active. I called them and informed we had refurbishment in the house and we do not have master socket anymore so we will need engineer visit. After this I called 8 times to confirm this. And even after confirming time slot for engineer between 8 am to 1 pm, on the day of the appointment they cancelled an engineer and when I called to check at 12:30 pm they told me there is no engineer needed. They wasted my two weeks and time in chase up calls. I think they don’t understand customer or they can’t read notes on my account. And now they are saying they can’t book an engineer until the service is active but they don’t understand there is no socket to plug in router as there is no line. Pathetic service!! AVOID AT ALL COST UNLESS YOU HAVE TIME TO WAIT AND WASTE!!",HM,2022,1,13,1,0.147,0.04,Negative
26,Wish I could put a 0 star,"Wish I could put a 0 star, upgraded my contract on the 5th DPD tried to deliver to a closed DPD pick up shop lol, then it got lost in transit and every time I ring they tell me to speak to DPD and DPD keep telling me to speak to Vodafone then Vodafone Keep telling me it's either at the pickup shop which it isn't or they are sending me a new one which they aren't because everyone I ask when I ring have no record of these statement's. It's actually ridiculous. Bearing in mind this is a £1.7k phone and a £70 a month contract which had already started coming out of my bank even though I don't have the device",Daniel Evans,2022,1,13,1,0.059,0.046,Negative
27,WORST NIGHTMARE with CANCEL ORDER and MOVING THE NUMBER,"I've been having the WORST nightmare with vodafone, since 30th of December. I got offered a monthly package when I was pay as you go customer. The call agent calling me didn't even see that I was already a vodafone customer and sent me a new simcard with a new number. I tried to cancel the order, when I understood the situation but it was IMPOSSIBLE TO CANCEL. I said ok I will move my number, yet after days, they couldn't still move my number to the new simcard. Their call agents are a nightmare, you cannot do or get what you want, impossible processes, everything is a mess, each call agent tells something different. The process takes ages, and in their favor. I hated Vodafone So much that I will tell each person that I know and on the internet about this horrible experience, If they fail to move my number tomorrow, I'm cancelling the stupid order. IF I CAN. because let's see if they can even do it.",Aysegul,2022,1,13,1,0.192,0.072,Negative
28,Will never go near Vodafone for the rest of my life,"Had a wifi dongle which was a none contract arrangement - paid for monthly. Rang to say no longer require the service which they acknowledged and said a note on the account. Having then changed address I find out a letter was at previous address with a debt collection notice for £80 (equivalent of 2 months). Horrendous company, no wonder their TrustPilot star rating is so bad if this is how they go about their business.",Steven Lowe,2022,1,13,1,0.194,0,Negative
29,my contract phone is lost and i been…,my contract phone is lost and i been trying to ring and speak to someone for the last couple of days regards to the problem but i get put on hold after selecting few options for hours and still have had no luck getting through to someone. An absolute disgrace,Haris Fiaz,2022,1,13,1,0.184,0.069,Negative
30,totally disgusting customer service,"totally disgusting customer service, basically cant speak to anyone. tried ringing on numerous occasions and cant get through to a person, text message from voda to say use their online chat that never works. just seen you can get support on facebook, but cant comment on thier.need to speak to someone about two payment taken in one month.",ellz: bearz,2022,1,13,1,0.04,0.031,Negative
31,I've been a loyal customer for years I…,"I've been a loyal customer for years I want to upgrade but the phones I want are more expensive for upgrades and so are the plans if you go on Vodafone site, I'm thinking of leaving Vodafone, I've never had any problems with them it's just got so expensive to upgrade.and they have put it to 36months for contract instead of 24mths.",Mrs Julie Round,2022,1,13,4,0,0.121,Positive
32,Didn’t have network or signal in my…,"Didn’t have network or signal in my area for 6 months but still paid my bills as I was told they would be refunded, turns out they weren’t at all so essentially I paid for a phone that didn’t work for 6 months, stay away from Vodafone believe me.",Jamal Hendrix,2022,1,12,1,0,0,Positive
33,So disappointed,"So disappointed, no customer service! I am cancelling my contract.",Ophelia,2022,1,12,1,0.57,0,Negative
34,There doesn't appear to be a place to…,"There doesn't appear to be a place to review Vodafone broadband,  so I'll add here that it is just as woeful. I am now without broadband or landline fir a week because Vodafone messed up the transfer.  I was transferring because they were so awful.The last company I had dealings with this chaotic and dysfunctional was Solarplicity who went bust. I have also sold my Vodafone shares, based on the warning dealing with Vodafone gave me. Dreadful.",MR Andrew Milne,2022,1,12,1,0.176,0.027,Negative
35,I cannot begin to explain how bad these…,"I cannot begin to explain how bad these people are. Broadband began running slow less than half the advertised speed technical help rang, couldn’t understand  a word he said, his level of English was appalling, feedback on the line didn’t help but please Vodafone make sure your Asian call centre staff can speak clearly and can be understood, I still have slow broadband so am moving elsewhere, steer clear of Vodafone, you get what you pay for.",Carol Armstrong,2022,1,12,1,0.064,0.19,Positive
36,"Vodafone is poorly managed, has poor products, poor UI's and poor service","I was trying to get my phone plan to work while I am abroad for 3 months. I first tried to upgrade my vodafone plan through the website, but this of course does not work on their awful site so you have to talk to the awful chatbot and when it inevitably doesn't work you  have to wait 100 places in a queue to talk to someone. After I got an adviser, they offered me the ridiculous prices of £32 a month or £25 a month with an additional £2 daily charge everyday I would use it. These extortionate packages offered only 100 minutes abroad, so I obviously didn't take these. I then tried to apply for a voxi sim card because they seemed reasonable, but I wouldn't be able to keep my number if I got a new voxi card because I already had a vodafone plan so for some reason the PAC code wouldn't work to transfer the number (ridiculous that this is a rule). I was then told I could get a voxi plan on my santander card instead, and was transfered between 3 people before being told I had to be in the UK to have the voxi plan on my card. They then suggested I send my current card back to the UK to then have the voxi plan put on it and then have it sent back to me in spain. This all took around 4 hours of sitting on the chat system on both voxi and santander sites.At every step throughout this horrendous ordeal I was asked to supply a security code. I had to repeat EVERY SINGLE TIME that I was abroad and could not receive any messages or calls to receive the code. I was transferred even more between different people because of this code issue. If I could have paid for the code message to go through to me if I could have, but vodafone's applications and integration to android phones is so bad that this option is nowhere to be found. Do not use vodafone, get an infinitely better deal from literally anywhere else.",No,2022,1,12,1,0.068,0.028,Negative
37,Disgrace of a company,Disgrace of a company. Box isn’t big enough to tell you everything wrong with this company. Scammers!,Toni Stewart,2022,1,12,1,0.32,0,Negative
38,Avoid like the plague.,"Avoid like the plague.Internet cut off without warning yesterday.  After 2 hours not being able to speak to someone and following diagnostics and half taking apart the land line system to preclude hardware issues, I discover they had cut us off for non payment of a £21 bill that was charged in error,  part of which was a £5 late payment fee for another mistake they had made.  Don't get me wrong we had payed the broadband and landline bill - this was something else -  when we finally got through,  even they did not know what this payment was for,  but refused to switch is back on until we paid it. We moved house last June and I have practically given up on the monthly several hours on the phone to correct their errors. With an autistic son doing mock GCSE exams at the moment, with all his material now online, haw can these people just cut you off without even contacting you?",Michael Crees,2022,1,12,1,0.128,0.03,Negative
39,Getting absolutely no where with Vodafone complaints department,"I’m so frustrated with the Vodafone customer journey even after writing directly to the CEO twice I am getting no where. I decided to upgrade my phone December last year after being with Vodafone for the past 24 years chose to remain loyal. I’ve had nothing but issues since. They assured me I would have the phone before Christmas 3 times and this did not happen, it took nearly 4 weeks to deliver a phone? Then since getting the phone there has been issues connecting my device to service so I have been left effectively with no phone! The person dealing with the complaint is never in the office and no one else seems to be able to pick up my queries? They have now confirmed they have to take the phone back as there seems to be issues with it, but have said they cannot replace that model as they don’t have any?! They haven’t even provided me with an alternative resolution.It’s beyond belief the lack of interest in customer service. Working in the regulated environment myself I am astounded by Vodafone’s attitude and lack of urgency around resolve or even keeping me updated as to what they are or are not the case may be, attempting to do for me.Having sent an email yesterday outlining my expectations I still have no response, and unlikely to get one as the case officer is out of office. Is every other complaint handler incapable of handling other peoples complaints? Surely if there are full notes on the system this should not be a problem?",Jennifer Marsden,2022,1,12,1,0.11,0.092,Negative
40,I've had enough of my broadband…,I've had enough of my broadband constantly losing connection and speaking with agents who are very polite but have me doing the same thing over and over and no improvement. Why is it so bad?!,Fiona Qualters,2022,1,11,1,0.12,0.098,Negative
41,Vodafone Mobile complaints team AWFUL &…,"Vodafone Mobile complaints team AWFUL & LIARS...They lost my iPhone and for 6 months didn't take responsibility. Only allowing me to raise a single complaint about 3-4 different issues. I took the complaint to CISAS who made a partial award for significant and seriously poor customer service but who can't adjudicate an appropriate award because it involves 3 separate Vodafone businesses, some of whom fall outside their remit. Vodafone continue to lie and cheat in their defence assuming I won't go to Small Claims Court. I will... it is the only way... Bad on Vodafone !!!",Paul,2022,1,11,1,0.207,0.09,Negative
42,Broadband increase,"I have only been with Vodafone two months  for broadband didn't look at any reviews before joining them the price as gone up already, Also it keeps cutting out on the Internet when it says I am already on WiFi?",John Randle,2022,1,11,2,0.039,0,Negative
43,I cannot believe the difficulty I have…,"I cannot believe the difficulty I have had with this company! I am only going to pay them if they actually talk to me!Last year, my daughter decided she would move into the wendy house (a summer house type of dwelling in the garden) and there was no broadband. We bought some kind of device on a monthly payment arrangement from Vodafone and it didn't work. Because it didn't work, they told us to send it back and we wouldn't owe anything. A few months after returning it, I noticed it on my credit file. I managed to get through to them but because I couldn't remember a password, they couldn't look into it.So now I am saddled with 150 pound debt for service I didn't have simply because I couldn't remember a password and they are uncontactable. The bot thing on the chat is an absolute joke!",Carol Aguallo,2022,1,11,1,0.043,0.057,Positive
44,I am so fed up with Vodafone -19…,I am so fed up I know we have Covid-19 but been trying to get through on the phone to change things but it’s a wast of time 3 days with long times no answer it is a joke so I think I might as well look for a new provider poor showRichard B.,Richard Brennan,2022,1,11,1,0.128,0.1,Negative
45,Absolutely vile,"Absolutely vile, just spoke to someone in customer services regarding a PAC code to transfer from three to vodafone & keep my old number & the man was shouting down the phone at me after i repeatedly said i’d speak to the original supplier (fonehouse) regarding refunds for my first bills & kept talking over me in an aggressive manner, absolutely vile i feel so shocked! Annoyingly didn’t get his name but so so rude & was only a couple minutes ago!",Tee,2022,1,11,1,0.176,0.033,Negative
46,Trying to get through to customer…,"Trying to get through to customer services is a nightmare as it wont let you and just puts you through to the automated services. Complete waste of time and to me just shows they dont want to talk to customers. I feel like they just want to take your money but as soon as there is a problem they dont want to know. My advice to peiple thjnking of joining vodaphone, think again and go with another network provider",Jack Moxon,2022,1,11,1,0.112,0.022,Negative
47,Has to be the worst network there is,Has to be the worst network there is. No signal anywhere,Atlanta Howes,2022,1,11,1,0.412,0,Negative
48,Introduction of Roaming fees for Europe,"I have been a loyal customer to Vodafone for a number of years, i even have my Broadband with them . However, if they do introduce roaming charges for Europe I will move to a new service provider when my contract ends. It will definitely be with a service provider who still offers free roaming in Europe. Just a heads-up Vodafone you may loose a lot of customers by taking this strategy.",Dave Curl,2022,1,11,4,0.062,0.147,Positive
49,A Sad Demise,"Have been a Vodafone business and personal customer for 15 plus years but never again. No customer loyalty when contracts are renewing, service is patchy and when you are due a refund you wait forever to get money owed to you. This is on top of being passed from pillar to post when making contact with them. A sad demise to what was a really good company!",David Seaton,2022,1,11,1,0.055,0.182,Positive
50,Disgraceful business practice,Below par behaviour I would not expect from any decent customer facing business. I've been a Vodafone customer for a few years with a monthly bill of £200 avg for two accounts via DD. Then left and after a three months a debt collection agency wants £24.39 on outstanding Vodafone’s account without them containing me first (none of my contact details changed). Shame and hoped for higher standards from that colorful advertising company. Let's see how long they can stay afloat with such huge negative feedback.,joe,2022,1,10,1,0.101,0.097,Negative
51,Terrible mobile service anywhere around…,Terrible mobile service anywhere around my location. says 4g but doesn’t even load simple web pages or stream 1080p videos. fix your coverage areas,Steven Jakubowski,2022,1,10,1,0.082,0,Negative
52,OH MY GOD WHY WHY I CHANGED FROM EE…,OH MY GOD WHY WHY I CHANGED FROM EE AFTER 8 YEARS TO THIS CRAP COMPANY. I HAVE 6 NUMBERS WITH THEM . COVERAGE AROUND 1 MILE FROM MY HOME IS BAD I GET 3G - I USED TO GET 4G WITH EE NO ISSUE. I GET 5G AT HOME THAT'S IT. I AM LOCKED INTO EARLY TERMINATION CHARGES. DISGRACE VODAFONE . I WILL DO EVERYTHING WITHIN MY POWER TO HELP PEOPLE NOT TO MAKE THE SAME MISTAKE I DID.,Roberto,2022,1,10,1,0.203,0.061,Negative
53,Most disgusting provider ever,"Most disgusting provider ever. What a disgrace of a service. Do not do business with this company how tempting the deal is. Save yourself from a lot of hassle , frustration and time waste.",Jordy,2022,1,10,1,0.312,0.078,Negative
54,I just call Vodafone and try to speak…,I just call Vodafone and try to speak Adviser i wait on the phone 42 min than her names Emma make jokes my accent and my name I was try to buy tablet than I decided to buy different company vodofone think they are in the best but not now they lose so many think I will never ever buy again vodofone price is high customer service rubbish I don't need to suffer for my money like this company,Zirto Virto,2022,1,10,1,0,0.171,Positive
55,My contract ended and when I told…,"My contract ended and when I told Vodafone I don't want to continue, but still want to keep my number they blocked my sim card the day was to transfer my number to another provider after being with them for six years. They do the same to my husband and my cousin.  Terrible people..",Fanta Fofanah,2022,1,10,1,0.159,0.05,Negative
56,worst network ever,"worst network ever - spent hours of my life chasing refunds, pac code, access to my account, incorrect billing etc. please avoid - you can never get through to anyone and when you do they misinform you and are so unhelpful.",Sophia,2022,1,10,1,0.141,0.052,Negative
57,Couldn't possibly be any worse,"Dreadful, frequent network outages. Left me with no mobile service or broadband over xmas and new year and it has failed twice again since then. Their customer service is a joke. When you do complain all you get is a scripted response from someone who may as well be a robot. No escalation route, completely ignored anything I said and just continued the generic responses. I made them aware that I considered them not providing the service was a breach of contract and I wished to terminate, this was completely ignored as well. Made me a measly compensation offer that didn't ever cover my bill for the period I was unable to use the service. I'm just waiting now to be able to refer it to the Ombudsman.From Vodafones benefit... For clarity when I said broadband I meant mobile 4g broadband that's why both services have been down at the same time and still down today. I don't use facebook or twitter not that I expect to get any sense out of vodafone there either, and when I said Ombudsman I meant CISAS not that I expect them to be able to fix your network when you seem incapable of doing that yourselves. I've tried escalating my complaint within Vodafone and been ignored. I've ask to terminate my contract and been ignored. Give me a phone number for an escalation point and I will use this.",SJ,2022,1,10,1,0.118,0.043,Negative
58,DISHONEST business and UNRELIABLE customer services,"In Aug, I am a visitor from U.S. and only used this service for a month. I reached the Vodafone online service to cancel it afterward. It was after 30-day cancellation notice period, but the online service person made an expectation on it. I was told that the account was canceled. Then I flew back to US. Everything seems fine for me.However, since then I kept receiving bill afterward and it went to CCSCollect. I contacted Vodafone online services again, they were not able to look up my previous conversation and insisted me to pay the bill.What a dishonest business and unreliable customer services!!!Lesson Learnt: Don't rely on their website said they will email you the conversation history after conversation ends. if it ended and you did not receive your email, there are no ways to get it back.So, make a print screen manually or save as pdf",Wilson,2022,1,10,1,0.079,0.051,Negative
59,I thought they were amazing until I had a problem.,I moved from Sky to Vodafone because the signal and broadband speed was terrible with Sky. I never had any issues with Vodafone until one day the broadband went down. I then had a 2 month nightmare trying to get the service working again. Would they send an engineer? No chance. There customer service is terrible you just go around in loops. I wish I had never moved now as bad service is better than no service.,abdn78,2022,1,10,1,0.168,0.091,Negative
60,Unbelievably bad customer service,Unbelievably bad customer service. Broadband issues ongoing for over a year and no resolution. Each time you call you face layer after layer of ‘technical support’ which does not resolve the issue for hours on end. Told by a customer service rep that an engineer visit was booked but then told it hadn’t been booked and wasn’t needed after waiting in for the engineer. Told to just monitor dropping out internet.By far and away the worst customer service I have ever received. Would be easier and more useful talking to a brick wall.,Laura,2022,1,9,1,0.11,0.078,Negative
61,Vodafone.,"Vodafone.I have a contract with Vodafone for both mobile phone and internet provision at ME16 9I cannot receive a decent signal with regards to my mobile phone within my property and any deliverance  or appreciable Internet  service delivered by Vodafone to my home address is intermittent at best.I have wasted almost 2 hours of my time today on their website, to try and rectify, but have been passed from pillar to post, and without any confirmation of any resolve from Vodafone.",Tristram,2022,1,9,1,0.026,0.042,Positive
62,Trying to unlock phone,"Trying to unlock phone, they keep sending code to phone! To I is useless, tried phone line, automated response, even more useless arrgghh!Whatever happened to humansSo vodafone sent me a link to a complaint page?So 50 minutes on hold, after getting past the crap automated section, got cut off!!! Sxxx service which I will cancel ASAP, assuming it is possible to speak to a human!",David Dodd,2022,1,9,1,0.225,0,Negative
63,No improvements here,"I have now successfully cancelled our last Vodafone contract and have to say I feel a mild sense of jubilation. Sad to say that but Vodafone is the worst company I have ever spent money with. Several years on and I have now ported over £1000/month to EE across multiple devices.Today was simply to cancel a £14/mth sim only that we don’t really use but hadn’t bothered to deal with. Surprise surprise….phone message says we apologise for the long wait times…try our live chat which has hundreds of agents. Try chat and eventually get past the ridiculous “Tobi” bot to be transferred to one the hundreds of U.K. based advisers….oh, nope, all advisers are busy so try phoning. What a lovely circle to put your customers in. Finally got someone on the phone and got shot of this awful company.Trust me, read the reviews on here. Don’t be suckered in by new customer pricing. Go elsewhere. None of the mobile operators are excellent, but EE has at least not ripped me off, put in place horrific contract terms, and you can actually get hold of them. I see from the reviews on here nothing has changed in the past 5 years at Vodafone. I will never be a customer again.",JPD,2022,1,9,1,0.139,0.074,Negative
64,This company is so so poor.,This company is so so poor.My wife's contract came to an end.She got a alternative company but Vodafone are saying that she needs to continue to pay for the contract which ran out and they have now passed this to a debt agency. She did not use any of their services after the contract ended.PLEASE DO NOT GET A CONTRACT WITH THIS COMPANY.If we could get a group of people with the same problem then take them to court.,David Shanks,2022,1,9,1,0.104,0,Negative
65,THE SLOWEST OF ALL,"THE SLOWEST OF ALL, INTERNET GETS CUT ALL THE TIME AND EXTREMELY SLOW...WORST BROADBAND BY FAR! TOTALLY UNPROFESSIONAL, STUPID TO THE CORE...VODAFONE STAFF ARE THERE ONLY TO GET THEIRS SALARIESVery poor customer service, people unable to actually do anything within there own department.",Alex Noah,2022,1,9,1,0.296,0,Negative
66,"If i could rate 0 i would,worst company…","If i could rate 0 i would,worst company and worst customer support,mobile broadband is a joke,my connection i pay for is fastest but what i get is i can't even connect to internet most of the time,especially at night,stay away",Mike,2022,1,9,1,0.108,0,Negative
67,What an awful service.,"What an awful service.Break there own customer service promises.Cut phone calls off to customers and a communication company does not call people back, it's not like they don't have my phone number durrrr.Everything I seem to get from the agents is, that's not my department, I'll put you through, then I get cut off.So far 4 hours on calls and hold.Very poor customer service, people unable to actually do anything within there own department.",Garreth- Midlands ,2022,1,8,1,0.135,0.017,Negative
68,Vodafone disaster from the start,Booked in a Vodafone broadband installation. Total disaster from the start. Engineers came to install but without a modem. Apparently was supposed to be sent to me beforehand. Phoned customer services was told it would be sent by a special Saturday delivery. They lied because when it never turned up I was then told they don't deliver on a Saturday. I was lied to again because the customer services then said WiFi will work with just the hub. Had to cancel an alarm installation which requires WiFi because of this.Totally incompetent and they lie just to get you off the phone.If you like being lied to and don't mind dealing with incompetent people then use Vodafone.,Paul Martin,2022,1,8,1,0.2,0.051,Negative
69,Thousands of people get stung by overcharges and incorrect credit file procedures.,"The government need to shut down this dishonest scheme. Overcharging me for a ""deal"" they sold me, then when my contract had ended and I had moved provider they continued to charge me before sending me to a debt collection agency and screwing up my credit score. AVOID at all costs!",Adam,2022,1,8,1,0.208,0.045,Negative
